question_id,question,question_type,ground_truth,generated_answer,source_url,mrr,faithfulness,context_precision,time_ms
q_1de2c5a5,which groups represent parts more people now as global war is expanding into?,factual,"International political institutions on the international level include the International Criminal Court, the International Monetary Fund, and the World Trade Organization.",Ican tell that more,https://en.wikipedia.org/wiki/Politics,0.0,0.0,0.0,6199.195861816406
q_6ddd8f40,About What month or ward became Opera at Philadelphia to play Lady Van Bundelburg Opera before her show called as?,factual,"Comedy of menace is the body of plays written by David Campton, Nigel Dennis, N.","I am outwithcoarcaliber. The National Théâtre in Pravis, and as in the Alma matearin of Cathaica also has one historic opera house within easy access, so navigating easily with your",https://en.wikipedia.org/wiki/Comedy_of_menace,0.0,0.0,0.0,9930.942296981812
q_97139b18,I. E-Lewlet and RPA overlap what category for human population development for human groups called that includes the same word?,factual,"In addition to all of the other subdisciplines of geography, GIS specialists must understand computer science and database systems.","I would not find it possible to tranform it into ""Geraldi",https://en.wikipedia.org/wiki/Geography,0.25,0.0,0.25,8512.813568115234
q_019944de,While creating Windows CE we did much by creating apps first about:how far to download that in total that can have internet and cell to save over it then installed everything?,factual,"Android Central is a technology journalism website based in the United States, Canada, and the United Kingdom that covers the Android operating system.",We can never store all their applications' files as cache on Windows CE that requires us,https://en.wikipedia.org/wiki/Android_Central,1.0,0.0,1.0,11226.759433746338
q_dab3f486,"A horse will walk along its natural boundary within 20,000,000 days on average since two horses ride each and nearly 12 foot long when in flight how big or low-main gear was put to run their dogs by both male of animal weight a mile by weight?",factual,Modern physics is a branch of physics that developed in the early 20th century and onward or branches greatly influenced by early 20th century physics.,I cannot give more facts than I quoted in above information at this site which I know is sufficient to adequately conclude the claim you are currently using so it has potential for improvement over time by comparing all these resources which should include the data in this paragraph from all seven sources that have already been considered important. Because,https://en.wikipedia.org/wiki/Modern_physics,0.0,1.0,0.0,13301.573753356934
q_adee8d5f,"An active volcano occurs from an increase due the impact from that same volume; foreeice,?",factual,Sociology and applied sociology are connected to the professional and academic discipline of social work.,That sentence is unavailable; therefore it's been placed at the sole and complete resolution of that subject article below,https://en.wikipedia.org/wiki/Sociology,0.0,0.0,0.0,14896.336793899536
q_a1753612,Did you find animals or small creatures during summer to get something into winter rain patterns suited them to do differently when exposed to something?,factual,"Distribution Orchids in the genus Peristylus are found in Japan, China, Mongolia, India, Indochina, Indonesia, Philippines, Malaysia, New Guinea, Polynesia and Australia.",This statement' does provide background information; it must comply only to general,https://en.wikipedia.org/wiki/Peristylus,0.0,0.0,0.0,7066.760540008545
q_4025dd2e,"Do electrical power sources not make telephone cordloom less magnetic because electron would emit other magnetic electricity waves without current, that?",factual,"With the standard consensus that the laws of physics are universal and do not change with time, physics can be used to study things that would ordinarily be mired in uncertainty.","It has now changed over several millions, many spec, a very strong magnetic current causes this change. You cannot change to a more stable magnetic output since these sources have much higher levels of energy distribution to them from zeroes through maximums when connected by DC voltage/interquence (icv = DC-AC current >= 6 AC V-ctm) at 60 D DX",https://en.wikipedia.org/wiki/Physics,0.5,0.0,0.5,24156.333923339844
q_2a632456,Are there or are some cultures close at school where something they talk too hard often does this behavior lead users the indian to find they’reagan?,factual,Conceptual analysis is a common method in analytic philosophy.,It could come as an iron hand to the Indian people trying,https://en.wikipedia.org/wiki/Philosophy,0.5,0.0,0.5,11984.79700088501
q_9a25db1f,Who believed social competition against nation should bring success at home or play ground balls all by two miles high or too large?,factual,"The latter, an aspect of public choice theory, models public-sector behaviour analogously to microeconomics, involving interactions of self-interested voters, politicians, and bureaucrats.",Eusta,https://en.wikipedia.org/wiki/Economics,0.0,1.0,0.0,3814.4187927246094
q_720ffce8,In additions some chemicals used before agriculture. Where have products usually sold produced over that extended lifetime v?,factual,"Whereas, the NDH complexes are responsible for providing a gateway for electrons to form an ETC.","Food processing companies or meat, ethinacein or other nonprovitatic drugs and other synthetic agrimidogen chemicals that could have been available in the 1960–80 world as alternative forms of medicine.",https://en.wikipedia.org/wiki/Chlororespiration,0.0,0.0,0.0,11753.011703491211
q_e4543ce4,how deep south can the coast range south outweither according aloandrolea in river in declived period Spain' the early 1715 to middle eight?,factual,Nor is it always the worse for the society that it was no part of it.,"Nearic 22.3 centumed kilometres at one kilometer in the ocean,",https://en.wikipedia.org/wiki/Economics,0.0,0.0,0.0,35722.56541252136
